chapter,chapter_description,code_category,code_category_description,icd_code,disease_description
V,Mental and behavioural disorders,F40-F48,"Neurotic, stress-related and somatoform disorders",F42,Obsessive-compulsive disorder
V,Mental and behavioural disorders,F40-F48,"Neurotic, stress-related and somatoform disorders",F40,Phobic anxiety disorders
V,Mental and behavioural disorders,F40-F48,"Neurotic, stress-related and somatoform disorders",F43,"Reaction to severe stress, and adjustment disorders"
V,Mental and behavioural disorders,F80-F89,Disorders of psychological development,,
V,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F88,Other disorders of psychological development
V,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F84,Pervasive developmental disorders
V,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F81,Specific developmental disorders of scholastic skills
V,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F83,Mixed specific developmental disorders
V,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F80,Specific developmental disorders of speech and language
V,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F82,Specific developmental disorder of motor function
V,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F89,Unspecified disorder of psychological development
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",,
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",F00,Dementia in Alzheimer disease
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",F05,"Delirium, not induced by alcohol and other psychoactive substances"
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",F02,Dementia in other diseases classified elsewhere
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",F03,Unspecified dementia
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances"
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",F01,Vascular dementia
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",F06,Other mental disorders due to brain damage and dysfunction and to physical disease
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction"
V,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders",F09,Unspecified organic or symptomatic mental disorder
V,Mental and behavioural disorders,F30-F39,Mood [affective] disorders,,
V,Mental and behavioural disorders,F30-F39,Mood [affective] disorders,F30,Manic episode
V,Mental and behavioural disorders,F30-F39,Mood [affective] disorders,F33,Recurrent depressive disorder
V,Mental and behavioural disorders,F30-F39,Mood [affective] disorders,F32,Depressive episode
V,Mental and behavioural disorders,F30-F39,Mood [affective] disorders,F31,Bipolar affective disorder
V,Mental and behavioural disorders,F30-F39,Mood [affective] disorders,F39,Unspecified mood [affective] disorder
V,Mental and behavioural disorders,F30-F39,Mood [affective] disorders,F34,Persistent mood [affective] disorders
V,Mental and behavioural disorders,F30-F39,Mood [affective] disorders,F38,Other mood [affective] disorders
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,,
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine"
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F10,Mental and behavioural disorders due to use of alcohol
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F12,Mental and behavioural disorders due to use of cannabinoids
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F13,Mental and behavioural disorders due to use of sedatives or hypnotics
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F11,Mental and behavioural disorders due to use of opioids
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F14,Mental and behavioural disorders due to use of cocaine
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents
V,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D53,Nutritional anaemias,,
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D53,Nutritional anaemias,D50,Iron deficiency anaemia
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D53,Nutritional anaemias,D53,Other nutritional anaemias
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D53,Nutritional anaemias,D52,Folate deficiency anaemia
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D53,Nutritional anaemias,D51,Vitamin B 12 deficiency anaemia
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias,,
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias,D61,Other aplastic anaemias
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias,D64,Other anaemias
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias,D62,Acute posthaemorrhagic anaemia
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias,D63,Anaemia in chronic diseases classified elsewhere
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias,D60,Acquired pure red cell aplasia [erythroblastopenia]
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,,
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,D57,Sickle-cell disorders
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,D55,Anaemia due to enzyme disorders
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,D58,Other hereditary haemolytic anaemias
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,D56,Thalassaemia
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,D59,Acquired haemolytic anaemia
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",,
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",D68,Other coagulation defects
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",D69,Purpura and other haemorrhagic conditions
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",D65,Disseminated intravascular coagulation [defibrination syndrome]
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",D67,Hereditary factor IX deficiency
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",D66,Hereditary factor VIII deficiency
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,,
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D74,Methaemoglobinaemia
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D70,Agranulocytosis
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D71,Functional disorders of polymorphonuclear neutrophils
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D73,Diseases of spleen
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D72,Other disorders of white blood cells
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D75,Other diseases of blood and blood-forming organs
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,,
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D84,Other immunodeficiencies
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D83,Common variable immunodeficiency
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D82,Immunodeficiency associated with other major defects
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D80,Immunodeficiency with predominantly antibody defects
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D81,Combined immunodeficiencies
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D89,"Other disorders involving the immune mechanism, not elsewhere classified"
III,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D86,Sarcoidosis
IV,"Endocrine, nutritional and metabolic diseases",E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,,
IV,"Endocrine, nutritional and metabolic diseases",E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,E16,Other disorders of pancreatic internal secretion
IV,"Endocrine, nutritional and metabolic diseases",E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,E15,Nondiabetic hypoglycaemic coma
IV,"Endocrine, nutritional and metabolic diseases",E40-E46,Malnutrition,,
IV,"Endocrine, nutritional and metabolic diseases",E40-E46,Malnutrition,E40,Kwashiorkor
IV,"Endocrine, nutritional and metabolic diseases",E40-E46,Malnutrition,E43,Unspecified severe protein-energy malnutrition
IV,"Endocrine, nutritional and metabolic diseases",E40-E46,Malnutrition,E42,Marasmic kwashiorkor
IV,"Endocrine, nutritional and metabolic diseases",E40-E46,Malnutrition,E44,Protein-energy malnutrition of moderate and mild degree
IV,"Endocrine, nutritional and metabolic diseases",E40-E46,Malnutrition,E45,Retarded development following protein-energy malnutrition
IV,"Endocrine, nutritional and metabolic diseases",E40-E46,Malnutrition,E41,Nutritional marasmus
IV,"Endocrine, nutritional and metabolic diseases",E40-E46,Malnutrition,E46,Unspecified protein-energy malnutrition
IV,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,,
IV,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E00,Congenital iodine-deficiency syndrome
IV,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E03,Other hypothyroidism
IV,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E02,Subclinical iodine-deficiency hypothyroidism
IV,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E01,Iodine-deficiency-related thyroid disorders and allied conditions
IV,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E04,Other nontoxic goitre
IV,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E05,Thyrotoxicosis [hyperthyroidism]
IV,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E07,Other disorders of thyroid
IV,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E06,Thyroiditis
IV,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,,
IV,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,E12,Malnutrition-related diabetes mellitus
IV,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,E10,Type 1 diabetes mellitus
IV,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,E11,Type 2 diabetes mellitus
IV,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,E13,Other specified diabetes mellitus
IV,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,E14,Unspecified diabetes mellitus
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,,
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E72,Other disorders of amino-acid metabolism
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70,Disorders of aromatic amino-acid metabolism
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E74,Other disorders of carbohydrate metabolism
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E78,Disorders of lipoprotein metabolism and other lipidaemias
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E75,Disorders of sphingolipid metabolism and other lipid storage disorders
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E73,Lactose intolerance
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E76,Disorders of glycosaminoglycan metabolism
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E77,Disorders of glycoprotein metabolism
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E80,Disorders of porphyrin and bilirubin metabolism
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E85,Amyloidosis
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E83,Disorders of mineral metabolism
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E79,Disorders of purine and pyrimidine metabolism
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E84,Cystic fibrosis
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E89,"Postprocedural endocrine and metabolic disorders, not elsewhere classified"
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E88,Other metabolic disorders
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E87,"Other disorders of fluid, electrolyte and acid-base balance"
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E90,Nutritional and metabolic disorders in diseases classified elsewhere
IV,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E86,Volume depletion
IV,"Endocrine, nutritional and metabolic diseases",E65-E68,Obesity and other hyperalimentation,,
IV,"Endocrine, nutritional and metabolic diseases",E65-E68,Obesity and other hyperalimentation,E65,Localized adiposity
IV,"Endocrine, nutritional and metabolic diseases",E65-E68,Obesity and other hyperalimentation,E66,Obesity
IV,"Endocrine, nutritional and metabolic diseases",E65-E68,Obesity and other hyperalimentation,E67,Other hyperalimentation
IV,"Endocrine, nutritional and metabolic diseases",E65-E68,Obesity and other hyperalimentation,E68,Sequelae of hyperalimentation
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,,
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E22,Hyperfunction of pituitary gland
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E20,Hypoparathyroidism
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E21,Hyperparathyroidism and other disorders of parathyroid gland
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E24,Cushing syndrome
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E23,Hypofunction and other disorders of pituitary gland
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E25,Adrenogenital disorders
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E30,"Disorders of puberty, not elsewhere classified"
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E28,Ovarian dysfunction
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E29,Testicular dysfunction
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E26,Hyperaldosteronism
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E27,Other disorders of adrenal gland
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E35,Disorders of endocrine glands in diseases classified elsewhere
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E32,Diseases of thymus
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E31,Polyglandular dysfunction
IV,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E34,Other endocrine disorders
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,,
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E50,Vitamin A deficiency
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E58,Dietary calcium deficiency
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E52,Niacin deficiency [pellagra]
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E56,Other vitamin deficiencies
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E51,Thiamine deficiency
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E54,Ascorbic acid deficiency
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E53,Deficiency of other B group vitamins
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E59,Dietary selenium deficiency
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E55,Vitamin D deficiency
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E64,Sequelae of malnutrition and other nutritional deficiencies
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E60,Dietary zinc deficiency
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E63,Other nutritional deficiencies
IV,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E61,Deficiency of other nutrient elements
XI,Diseases of the digestive system,K90-K93,Other diseases of the digestive system,,
XI,Diseases of the digestive system,K90-K93,Other diseases of the digestive system,K92,Other diseases of digestive system
XI,Diseases of the digestive system,K90-K93,Other diseases of the digestive system,K91,"Postprocedural disorders of digestive system, not elsewhere classified"
XI,Diseases of the digestive system,K90-K93,Other diseases of the digestive system,K90,Intestinal malabsorption
XI,Diseases of the digestive system,K90-K93,Other diseases of the digestive system,K93,Disorders of other digestive organs in diseases classified elsewhere
XI,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",,
XI,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K83,Other diseases of biliary tract
XI,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K82,Other diseases of gallbladder
XI,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K80,Cholelithiasis
XI,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K85,Acute pancreatitis
XI,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K81,Cholecystitis
XI,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K86,Other diseases of pancreas
XI,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
XI,Diseases of the digestive system,K65-K67,Diseases of peritoneum,,
XI,Diseases of the digestive system,K65-K67,Diseases of peritoneum,K65,Peritonitis
XI,Diseases of the digestive system,K65-K67,Diseases of peritoneum,K66,Other disorders of peritoneum
XI,Diseases of the digestive system,K65-K67,Diseases of peritoneum,K67,Disorders of peritoneum in infectious diseases classified elsewhere
XI,Diseases of the digestive system,K50-K52,Noninfective enteritis and colitis,,
XI,Diseases of the digestive system,K50-K52,Noninfective enteritis and colitis,K51,Ulcerative colitis
XI,Diseases of the digestive system,K50-K52,Noninfective enteritis and colitis,K50,Crohn disease [regional enteritis]
XI,Diseases of the digestive system,K50-K52,Noninfective enteritis and colitis,K52,Other noninfective gastroenteritis and colitis
XI,Diseases of the digestive system,K35-K38,Diseases of appendix,,
XI,Diseases of the digestive system,K35-K38,Diseases of appendix,K35,Acute appendicitis
XI,Diseases of the digestive system,K35-K38,Diseases of appendix,K36,Other appendicitis
XI,Diseases of the digestive system,K35-K38,Diseases of appendix,K38,Other diseases of appendix
XI,Diseases of the digestive system,K35-K38,Diseases of appendix,K37,Unspecified appendicitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",,
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00,Disorders of tooth development and eruption
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K05,Gingivitis and periodontal diseases
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03,Other diseases of hard tissues of teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K01,Embedded and impacted teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02,Dental caries
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04,Diseases of pulp and periapical tissues
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11,Diseases of salivary glands
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07,Dentofacial anomalies [including malocclusion]
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K09,"Cysts of oral region, not elsewhere classified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K10,Other diseases of jaws
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K08,Other disorders of teeth and supporting structures
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K06,Other disorders of gingiva and edentulous alveolar ridge
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K12,Stomatitis and related lesions
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14,Diseases of tongue
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13,Other diseases of lip and oral mucosa
XI,Diseases of the digestive system,K40-K46,Hernia,,
XI,Diseases of the digestive system,K40-K46,Hernia,K44,Diaphragmatic hernia
XI,Diseases of the digestive system,K40-K46,Hernia,K43,Ventral hernia
XI,Diseases of the digestive system,K40-K46,Hernia,K42,Umbilical hernia
XI,Diseases of the digestive system,K40-K46,Hernia,K45,Other abdominal hernia
XI,Diseases of the digestive system,K40-K46,Hernia,K41,Femoral hernia
XI,Diseases of the digestive system,K40-K46,Hernia,K46,Unspecified abdominal hernia
XI,Diseases of the digestive system,K40-K46,Hernia,K40,Inguinal hernia
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,,
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K56,Paralytic ileus and intestinal obstruction without hernia
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K57,Diverticular disease of intestine
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55,Vascular disorders of intestine
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K59,Other functional intestinal disorders
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K58,Irritable bowel syndrome
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K60,Fissure and fistula of anal and rectal regions
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K61,Abscess of anal and rectal regions
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K62,Other diseases of anus and rectum
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K63,Other diseases of intestine
XI,Diseases of the digestive system,K55-K64,Other diseases of intestines,K64,Haemorrhoids and perianal venous thrombosis
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",,
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22,Other diseases of oesophagus
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K28,Gastrojejunal ulcer
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26,Duodenal ulcer
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K23,Disorders of oesophagus in diseases classified elsewhere
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K20,Oesophagitis
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25,Gastric ulcer
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K21,Gastro-oesophageal reflux disease
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K27,"Peptic ulcer, site unspecified"
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K30,Functional dyspepsia
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K29,Gastritis and duodenitis
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K31,Other diseases of stomach and duodenum
XI,Diseases of the digestive system,K70-K77,Diseases of liver,,
XI,Diseases of the digestive system,K70-K77,Diseases of liver,K75,Other inflammatory liver diseases
XI,Diseases of the digestive system,K70-K77,Diseases of liver,K73,"Chronic hepatitis, not elsewhere classified"
XI,Diseases of the digestive system,K70-K77,Diseases of liver,K76,Other diseases of liver
XI,Diseases of the digestive system,K70-K77,Diseases of liver,K71,Toxic liver disease
XI,Diseases of the digestive system,K70-K77,Diseases of liver,K70,Alcoholic liver disease
XI,Diseases of the digestive system,K70-K77,Diseases of liver,K72,"Hepatic failure, not elsewhere classified"
XI,Diseases of the digestive system,K70-K77,Diseases of liver,K74,Fibrosis and cirrhosis of liver
XI,Diseases of the digestive system,K70-K77,Diseases of liver,K77,Liver disorders in diseases classified elsewhere
XII,Diseases of the skin and subcutaneous tissue,L10-L14,Bullous disorders,,
XII,Diseases of the skin and subcutaneous tissue,L10-L14,Bullous disorders,L12,Pemphigoid
XII,Diseases of the skin and subcutaneous tissue,L10-L14,Bullous disorders,L11,Other acantholytic disorders
XII,Diseases of the skin and subcutaneous tissue,L10-L14,Bullous disorders,L10,Pemphigus
XII,Diseases of the skin and subcutaneous tissue,L10-L14,Bullous disorders,L13,Other bullous disorders
